document_id,subject,current_phase,current_domain,lane,umbrella_family,intentional_retain,retain_reason,policy_basis,reference_repo_pattern,decision_kind,local_text_weakness,taxonomy_fit,risk_note
xml_kmvss-kmvss_art_34_048,창유리 등,cross_phase,visibility_glazing_and_driver_information,intentional_cross_phase,glazing_cross_phase,True,true_multi_phase_glazing_scope,kmvss_round2c_review_lane_policy.intentional_cross_phase,wiki_llm_safety:pilot_csv+jsonl_and_policy_note,policy retain,high,true multi-phase,forcing a single phase would discard genuine visibility-retention overlap
xml_kmvss-kmvss_art_105_158,창유리의 안전성 등,cross_phase,visibility_glazing_and_driver_information,intentional_cross_phase,glazing_cross_phase,True,true_multi_phase_glazing_scope,kmvss_round2c_review_lane_policy.intentional_cross_phase,wiki_llm_safety:pilot_csv+jsonl_and_policy_note,policy retain,high,true multi-phase,forcing a single phase would discard genuine visibility-retention overlap
xml_kmvss-kmvss_art_2_002,정의,non_phase_admin,other_or_review,intentional_other_or_review,definitions,True,taxonomy_or_governance_review_lane,kmvss_round2c_review_lane_policy.intentional_other_or_review,wiki_llm_safety:operator_policy_and_fixed_slice_eval,policy retain,high,taxonomy gap or governance scope,forcing a canonical domain would create artificial precision
xml_kmvss-kmvss_art_114_189,기준적용의 특례,non_phase_admin,other_or_review,intentional_other_or_review,special_exceptions,True,taxonomy_or_governance_review_lane,kmvss_round2c_review_lane_policy.intentional_other_or_review,wiki_llm_safety:operator_policy_and_fixed_slice_eval,policy retain,high,taxonomy gap or governance scope,forcing a canonical domain would create artificial precision
xml_kmvss-kmvss_art_32_046,물품적재장치,non_phase_admin,other_or_review,intentional_other_or_review,umbrella_titles_with_weak_unit_text,True,taxonomy_or_governance_review_lane,kmvss_round2c_review_lane_policy.intentional_other_or_review,wiki_llm_safety:operator_policy_and_fixed_slice_eval,policy retain,high,taxonomy gap or governance scope,forcing a canonical domain would create artificial precision
xml_kmvss-kmvss_art_28_042,입석,cross_phase,other_or_review,intentional_other_or_review,umbrella_titles_with_weak_unit_text,True,taxonomy_or_governance_review_lane,kmvss_round2c_review_lane_policy.intentional_other_or_review,wiki_llm_safety:operator_policy_and_fixed_slice_eval,policy retain,high,taxonomy gap or governance scope,forcing a canonical domain would create artificial precision
xml_kmvss-kmvss_art_113_188,승차정원 및 최대적재량,cross_phase,other_or_review,intentional_other_or_review,umbrella_titles_with_weak_unit_text,True,taxonomy_or_governance_review_lane,kmvss_round2c_review_lane_policy.intentional_other_or_review,wiki_llm_safety:operator_policy_and_fixed_slice_eval,policy retain,high,taxonomy gap or governance scope,forcing a canonical domain would create artificial precision
xml_kmvss-kmvss_art_18_028,사이버보안,non_phase_admin,other_or_review,mixed_or_ambiguous_keep_for_review,software_cyber,True,mixed_technical_admin_scope,kmvss_round2c_review_lane_policy.mixed_or_ambiguous_keep_for_review,wiki_llm_safety:review_register_plus_trace_diff,policy retain,high,mixed technical/admin,"technical and admin phrases coexist, so over-committing is risky"
xml_kmvss-kmvss_art_18_029,소프트웨어,non_phase_admin,other_or_review,mixed_or_ambiguous_keep_for_review,software_cyber,True,mixed_technical_admin_scope,kmvss_round2c_review_lane_policy.mixed_or_ambiguous_keep_for_review,wiki_llm_safety:review_register_plus_trace_diff,policy retain,high,mixed technical/admin,"technical and admin phrases coexist, so over-committing is risky"
xml_kmvss-kmvss_art_88_129,계기판넬,pre_crash,visibility_glazing_and_driver_information,umbrella_adjudication_candidate,umbrella_instrument_panel,False,,kmvss_round2c_review_lane_policy.umbrella_adjudication_candidate,wiki_llm_safety:fixed_slice_holdout_and_helper_script,classification improvement target,high,umbrella title needs adjudication,`계기판넬` still looks like an umbrella family that can be pushed further with family priors
xml_kmvss-kmvss_art_20_032,견인장치 및 연결장치,in_crash,structural_integrity_retention_and_egress,umbrella_adjudication_candidate,umbrella_towing_connection,False,,kmvss_round2c_review_lane_policy.umbrella_adjudication_candidate,wiki_llm_safety:fixed_slice_holdout_and_helper_script,classification improvement target,high,umbrella title needs adjudication,`견인장치 및 연결장치` still looks like an umbrella family that can be pushed further with family priors
xml_kmvss-kmvss_art_33_047,가스운송장치,post_crash,fire_electrical_and_energy_storage_safety,umbrella_adjudication_candidate,umbrella_gas_transport,False,,kmvss_round2c_review_lane_policy.umbrella_adjudication_candidate,wiki_llm_safety:fixed_slice_holdout_and_helper_script,classification improvement target,high,umbrella title needs adjudication,`가스운송장치` still looks like an umbrella family that can be pushed further with family priors
xml_kmvss-kmvss_art_37_051,배기관,post_crash,fire_electrical_and_energy_storage_safety,umbrella_adjudication_candidate,umbrella_exhaust,False,,kmvss_round2c_review_lane_policy.umbrella_adjudication_candidate,wiki_llm_safety:fixed_slice_holdout_and_helper_script,classification improvement target,high,umbrella title needs adjudication,`배기관` still looks like an umbrella family that can be pushed further with family priors
xml_kmvss-kmvss_art_98_147,좌석등받이,in_crash,occupant_protection_and_restraints,umbrella_adjudication_candidate,umbrella_seat_back,False,,kmvss_round2c_review_lane_policy.umbrella_adjudication_candidate,wiki_llm_safety:fixed_slice_holdout_and_helper_script,classification improvement target,high,umbrella title needs adjudication,`좌석등받이` still looks like an umbrella family that can be pushed further with family priors
xml_kmvss-kmvss_art_25_038,접이식좌석,in_crash,occupant_protection_and_restraints,umbrella_adjudication_candidate,umbrella_folding_seat,False,,kmvss_round2c_review_lane_policy.umbrella_adjudication_candidate,wiki_llm_safety:fixed_slice_holdout_and_helper_script,classification improvement target,high,umbrella title needs adjudication,`접이식좌석` still looks like an umbrella family that can be pushed further with family priors
