calibration_id,unit_sample_id,unit_label,source_locator,document_selected_phase,selected_phase,rejected_alternative_phase,authority_source,note
us-fmvss-111,us-fmvss-111-u1,mirror visibility requirement,visibility_clause,pre_crash,pre_crash,cross_phase,https://www.ecfr.gov/current/title-49/subtitle-B/chapter-V/part-571,Rear visibility keeps pre-crash intent at unit level.
us-fmvss-111,us-fmvss-111-u2,field of view performance,test_clause,pre_crash,pre_crash,in_crash,https://www.ecfr.gov/current/title-49/subtitle-B/chapter-V/part-571,Driver awareness before impact dominates.
us-fmvss-111,us-fmvss-111-u3,indirect vision support,equipment_clause,pre_crash,pre_crash,cross_phase,https://www.ecfr.gov/current/title-49/subtitle-B/chapter-V/part-571,No crash-phase obligation dominates.
us-fmvss-126,us-fmvss-126-u1,yaw stability control logic,control_clause,pre_crash,pre_crash,in_crash,https://www.ecfr.gov/current/title-49/subtitle-B/chapter-V/part-571,Control and avoidance intent dominates before impact.
us-fmvss-126,us-fmvss-126-u2,test maneuver threshold,test_clause,pre_crash,pre_crash,in_crash,https://www.ecfr.gov/current/title-49/subtitle-B/chapter-V/part-571,Test exists to validate pre-crash control.
us-fmvss-126,us-fmvss-126-u3,malfunction telltale,warning_clause,pre_crash,pre_crash,non_phase_admin,https://www.ecfr.gov/current/title-49/subtitle-B/chapter-V/part-571,Warning behavior still supports pre-crash control.
unece-r131,unece-r131-u1,collision warning timing,warning_clause,pre_crash,pre_crash,in_crash,https://unece.org/,Warning and intervention happen before impact.
unece-r131,unece-r131-u2,automatic braking trigger,trigger_clause,pre_crash,pre_crash,in_crash,https://unece.org/,Braking trigger is pre-collision intervention.
unece-r131,unece-r131-u3,system performance validation,test_clause,pre_crash,pre_crash,in_crash,https://unece.org/,Test validates pre-crash safety function.
unece-r152,unece-r152-u1,pedestrian detection response,detection_clause,pre_crash,pre_crash,in_crash,https://unece.org/,Detection and response remain pre-crash.
unece-r152,unece-r152-u2,braking system activation,activation_clause,pre_crash,pre_crash,in_crash,https://unece.org/,Activation occurs before collision.
unece-r152,unece-r152-u3,minimum system performance,performance_clause,pre_crash,pre_crash,in_crash,https://unece.org/,Performance target is impact avoidance.
us-fmvss-208,us-fmvss-208-u1,seat belt performance,restraint_clause,in_crash,in_crash,cross_phase,https://www.ecfr.gov/current/title-49/subtitle-B/chapter-V/part-571,Restraint performance is crash-event dominant.
