calibration_id,jurisdiction,document_title,source_citation,authority_source,selected_phase,rejected_alternative_phase,expected_functional_domain,expected_primary_topic,confidence,selection_note
us-fmvss-111,US,Rear Visibility,FMVSS 111 / 49 CFR 571.111,https://www.ecfr.gov/current/title-49/subtitle-B/chapter-V/part-571,pre_crash,cross_phase,crash_avoidance_and_vehicle_control,rear_visibility,0.90,Pre-crash detection and driver visibility intent dominates.
us-fmvss-126,US,Electronic Stability Control Systems,FMVSS 126 / 49 CFR 571.126,https://www.ecfr.gov/current/title-49/subtitle-B/chapter-V/part-571,pre_crash,in_crash,crash_avoidance_and_vehicle_control,electronic_stability_control,0.94,Control and avoidance intent dominates before impact.
unece-r131,UNECE,Advanced Emergency Braking Systems,UNECE R131,https://unece.org/,pre_crash,in_crash,crash_avoidance_and_vehicle_control,pedestrian_aeb,0.93,AEBS is intervention before collision rather than crash-load performance.
unece-r152,UNECE,Advanced Emergency Braking System,UNECE R152,https://unece.org/,pre_crash,in_crash,crash_avoidance_and_vehicle_control,pedestrian_aeb,0.93,AEBS remains a pre-impact avoidance technology.
us-fmvss-208,US,Occupant Crash Protection,FMVSS 208 / 49 CFR 571.208,https://www.ecfr.gov/current/title-49/subtitle-B/chapter-V/part-571,in_crash,cross_phase,occupant_protection_and_restraints,frontal_impact,0.95,Restraint and injury performance in impact are central.
us-fmvss-206,US,Door Locks and Door Retention Components,FMVSS 206 / 49 CFR 571.206,https://www.ecfr.gov/current/title-49/subtitle-B/chapter-V/part-571,in_crash,post_crash,structural_integrity_retention_and_egress,door_retention,0.94,Door retention is primarily an in-crash occupant retention question.
us-fmvss-214,US,Side Impact Protection,FMVSS 214 / 49 CFR 571.214,https://www.ecfr.gov/current/title-49/subtitle-B/chapter-V/part-571,in_crash,cross_phase,occupant_protection_and_restraints,side_impact,0.94,Impact protection intent is centered on crash loading.
us-fmvss-226,US,Ejection Mitigation,FMVSS 226 / 49 CFR 571.226,https://www.ecfr.gov/current/title-49/subtitle-B/chapter-V/part-571,in_crash,post_crash,structural_integrity_retention_and_egress,ejection_mitigation,0.92,Ejection mitigation is tied to occupant retention during crash events.
unece-r94,UNECE,Frontal Collision Protection,UNECE R94,https://unece.org/,in_crash,cross_phase,occupant_protection_and_restraints,frontal_impact,0.94,Crash-test and occupant impact performance dominate.
unece-r95,UNECE,Lateral Collision Protection,UNECE R95,https://unece.org/,in_crash,cross_phase,occupant_protection_and_restraints,side_impact,0.94,Side-impact occupant protection is an in-crash problem.
us-fmvss-302,US,Flammability of Interior Materials,FMVSS 302 / 49 CFR 571.302,https://www.ecfr.gov/current/title-49/subtitle-B/chapter-V/part-571,post_crash,cross_phase,interior_materials_and_fire,post_crash_fire_stability,0.91,Interior fire stability is treated as post-crash safety.
us-fmvss-305a,US,Electric-Powered Vehicles Electrolyte Spillage and Electrical Shock Protection,FMVSS 305a / 49 CFR 571.305a,https://www.ecfr.gov/current/title-49/subtitle-B/chapter-V/part-571,post_crash,cross_phase,fire_electrical_and_energy_storage_safety,post_crash_electrical_safety,0.94,Post-crash high-voltage and spillage safety dominate classification.
kr-kmvss-art-112-186,KR,KMVSS Art 112-186 EV traction battery safety,KMVSS_Art_112_186,https://www.law.go.kr/,post_crash,cross_phase,fire_electrical_and_energy_storage_safety,post_crash_electrical_safety,0.86,High-voltage battery safety after collision is treated as post-crash.
unece-r100,UNECE,Electric Power Train Vehicle Electrical Safety,UNECE R100,https://unece.org/,post_crash,cross_phase,fire_electrical_and_energy_storage_safety,post_crash_electrical_safety,0.90,Electrical shock and energy storage safety are calibrated as post-crash dominant.
unece-r144,UNECE,Accident Emergency Call Systems,UNECE R144,https://unece.org/,post_crash,non_phase_admin,post_crash_response_and_data,emergency_call_systems,0.95,Accident emergency call intent begins after the crash event.
us-fmvss-205,US,Glazing Materials,FMVSS 205 / 49 CFR 571.205,https://www.ecfr.gov/current/title-49/subtitle-B/chapter-V/part-571/subpart-B/section-571.205,cross_phase,pre_crash,visibility_glazing_and_driver_information,glazing_visibility,0.90,Visibility and retention functions coexist across phases.
eu-2019-2144,EU,General Safety Regulation,Regulation (EU) 2019/2144,https://eur-lex.europa.eu/eli/reg/2019/2144/oj/eng,cross_phase,pre_crash,other_or_review,general_vehicle_safety,0.90,The regulation spans pre-, in-, and post-crash obligations.
kr-performance-rule,KR,KR umbrella performance rule,law.go.kr current performance rule,https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=270023,cross_phase,in_crash,other_or_review,kr_vehicle_safety_rule_root,0.78,Umbrella technical rule remains cross-phase until unit-level adjudication refines it.
eu-2018-858,EU,Type Approval and Market Surveillance Framework,Regulation (EU) 2018/858,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:02018R0858-20221206,non_phase_admin,cross_phase,other_or_review,type_approval_framework,0.97,Administrative and surveillance logic dominates over technical phase logic.
unece-1958,UNECE,1958 Agreement,1958 Agreement,https://unece.org/sites/default/files/2023-12/WP.29-191-12e.pdf,non_phase_admin,cross_phase,other_or_review,1958_agreement_framework,0.95,Agreement governance is not a technical phase document.
