jurisdiction,regulatory_layer_guess,source_url,official_status,document_title,citation_preferred_form,version_or_effective_date,parser_strategy,notes
KR,technical_requirement,https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=270023,primary_official,자동차 및 자동차부품의 성능과 기준에 관한 규칙,자동차 및 자동차부품의 성능과 기준에 관한 규칙,"current law.go.kr text checked 2026-04-13",html_or_pdf_manual_capture,국가법령정보센터 current text
KR,technical_requirement,https://www.law.go.kr/LSW/lsPdfPrint.do?ancYnChk=0&bylChaChk=N&efGubun=Y&efYd=20221121&joAllCheck=Y&joEfOutPutYn=on&lsiSeq=245469&mokChaChk=N,primary_official,자동차 및 자동차부품의 성능과 기준에 관한 규칙 PDF current text,자동차 및 자동차부품의 성능과 기준에 관한 규칙,"law.go.kr PDF current text checked 2026-04-13",pdf_text_first,조문 전체 검토용 PDF mirror
KR,conformity_assessment,https://www.law.go.kr/,pending_official_confirmation,자동차의 인증 및 조사 등에 관한 규정,자동차의 인증 및 조사 등에 관한 규정,"official current URL to be confirmed during pilot",manual_registry_capture,국토교통부 고시 current canonical URL discovery pending
KR,test_procedure,https://www.law.go.kr/,pending_official_confirmation,자동차안전기준 시행세칙,자동차안전기준 시행세칙,"official current URL to be confirmed during pilot",manual_registry_capture,행정규칙 canonical URL discovery pending
US,framework_admin,https://www.nhtsa.gov/laws-regulations,primary_official,NHTSA Statutes Regulations Authorities and FMVSS landing,NHTSA laws and regulations landing,"current landing page checked 2026-04-13",html_manual_capture,FMVSS and authority system overview
US,technical_requirement,https://www.ecfr.gov/current/title-49/subtitle-B/chapter-V/part-571,primary_official,49 CFR Part 571 Federal Motor Vehicle Safety Standards,49 CFR Part 571,"eCFR current text checked 2026-04-13",html_section_capture,FMVSS technical requirement canonical root
US,technical_requirement,https://www.ecfr.gov/current/title-49/subtitle-B/chapter-V/part-571/subpart-B/section-571.205,primary_official,eCFR 49 CFR 571.205 Standard No. 205 Glazing materials,FMVSS 205 / 49 CFR 571.205,"eCFR current text checked 2026-04-13",html_section_capture,cross_phase pilot anchor
EU,framework_admin,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:02018R0858-20221206,primary_official,Regulation (EU) 2018/858 consolidated text,Regulation (EU) 2018/858,"consolidated text 2022-12-06",html_manual_capture,type approval and market surveillance framework
EU,technical_requirement,https://eur-lex.europa.eu/eli/reg/2019/2144/oj/eng,primary_official,Regulation (EU) 2019/2144 General Safety Regulation,Regulation (EU) 2019/2144,"official journal text checked 2026-04-13",html_manual_capture,general safety and vehicle protection requirements
EU,framework_admin,https://transport.ec.europa.eu/transport-themes/smart-mobility/road/application-areas/vehicle-safety-systems_en,official_explainer,European Commission Vehicle Safety Systems explainer,EC Vehicle Safety Systems,"current explainer checked 2026-04-13",html_manual_capture,active safety and post-crash system overview
UNECE,framework_admin,https://unece.org/wp29-introduction,primary_official,WP.29 Introduction,UNECE WP.29 Introduction,"current page checked 2026-04-13",html_manual_capture,vehicle regulation governance overview
UNECE,framework_admin,https://unece.org/sites/default/files/2023-12/WP.29-191-12e.pdf,primary_official,1958 Agreement working paper reference,1958 Agreement,"UNECE PDF published 2023-12",pdf_text_first,agreement-level legal framework reference
UNECE,technical_requirement,https://unece.org/transport/vehicle-regulations-wp29/un-regulations-addenda-1958-agreement,secondary_official_index,UNECE UN Regulations addenda index,UN Regulations addenda index,"current index checked 2026-04-13",html_manual_capture,representative UN Regulation set selection index
