document_id,subject,current_phase,current_domain,current_review_lane_type,title_family,local_text_weakness,short_clause_share,parent_inheritance_effect,canonical_taxonomy_fit,promotion_status,promotion_reason,retain_stability,needs_policy_decision,reference_repo_pattern,current_residual_reason,cross_units,other_units,total_units
xml_kmvss-kmvss_art_38_055,주간주행등,cross_phase,other_or_review,umbrella_adjudication_candidate,umbrella_titles_with_weak_unit_text,high,100.00%,75.00%,strong_family_fit,promotion_candidate,family_prior_plus_parent_context_alignment,,False,wiki_llm_safety:fixed_slice_holdout_and_helper_script,no_phase_signal;low_domain_signal,3,3,4
xml_kmvss-kmvss_art_39_057,후퇴등,cross_phase,other_or_review,umbrella_adjudication_candidate,umbrella_titles_with_weak_unit_text,high,100.00%,50.00%,strong_family_fit,promotion_candidate,family_prior_plus_parent_context_alignment,,False,wiki_llm_safety:fixed_slice_holdout_and_helper_script,no_phase_signal;low_domain_signal,3,3,4
xml_kmvss-kmvss_art_40_059,차폭등,cross_phase,other_or_review,umbrella_adjudication_candidate,umbrella_titles_with_weak_unit_text,high,100.00%,75.00%,strong_family_fit,promotion_candidate,family_prior_plus_parent_context_alignment,,False,wiki_llm_safety:fixed_slice_holdout_and_helper_script,no_phase_signal;low_domain_signal,3,3,4
xml_kmvss-kmvss_art_45_068,후방추돌경고등,cross_phase,other_or_review,umbrella_adjudication_candidate,umbrella_titles_with_weak_unit_text,high,100.00%,66.67%,strong_family_fit,promotion_candidate,family_prior_plus_parent_context_alignment,,False,wiki_llm_safety:fixed_slice_holdout_and_helper_script,low_phase_signal;low_domain_signal,3,3,3
xml_kmvss-kmvss_art_79_115,비상점멸표시등,cross_phase,other_or_review,umbrella_adjudication_candidate,umbrella_titles_with_weak_unit_text,high,100.00%,100.00%,strong_family_fit,promotion_candidate,family_prior_plus_parent_context_alignment,,False,wiki_llm_safety:fixed_slice_holdout_and_helper_script,no_phase_signal;low_domain_signal,3,3,3
xml_kmvss-kmvss_art_87_128,가속제어장치,cross_phase,other_or_review,umbrella_adjudication_candidate,umbrella_titles_with_weak_unit_text,medium,66.67%,0.00%,strong_family_fit,promotion_candidate,family_prior_plus_parent_context_alignment,,False,wiki_llm_safety:fixed_slice_holdout_and_helper_script,no_phase_signal;low_domain_signal,3,3,3
xml_kmvss-kmvss_art_4_007,길이ㆍ너비 및 높이,non_phase_admin,other_or_review,umbrella_adjudication_candidate,umbrella_titles_with_weak_unit_text,high,100.00%,80.00%,weak_or_abstract_scope,temporary_retain,local_text_too_abstract_for_safe_canonical_lowering,temporary_retain,False,wiki_llm_safety:operator_policy_and_fixed_slice_eval,,0,8,10
xml_kmvss-kmvss_art_23_035,승차장치,in_crash,occupant_protection_and_restraints,umbrella_adjudication_candidate,umbrella_titles_with_weak_unit_text,high,100.00%,63.64%,weak_or_abstract_scope,temporary_retain,local_text_too_abstract_for_safe_canonical_lowering,temporary_retain,False,wiki_llm_safety:operator_policy_and_fixed_slice_eval,,0,3,11
xml_kmvss-kmvss_art_6_009,차량총중량등,cross_phase,other_or_review,umbrella_adjudication_candidate,umbrella_titles_with_weak_unit_text,high,100.00%,50.00%,policy_unsettled,needs_policy_decision,taxonomy_or_policy_semantics_not_settled,temporary_retain,True,wiki_llm_safety:operator_policy_and_fixed_slice_eval,no_phase_signal;low_domain_signal,4,4,4
xml_kmvss-kmvss_art_108_162,에너지소비효율,cross_phase,other_or_review,umbrella_adjudication_candidate,umbrella_titles_with_weak_unit_text,high,100.00%,66.67%,policy_unsettled,needs_policy_decision,taxonomy_or_policy_semantics_not_settled,temporary_retain,True,wiki_llm_safety:operator_policy_and_fixed_slice_eval,no_phase_signal;low_domain_signal,3,3,3
xml_kmvss-kmvss_art_108_163,1회 충전 후 주행가능거리,cross_phase,other_or_review,umbrella_adjudication_candidate,umbrella_titles_with_weak_unit_text,medium,66.67%,66.67%,policy_unsettled,needs_policy_decision,taxonomy_or_policy_semantics_not_settled,temporary_retain,True,wiki_llm_safety:operator_policy_and_fixed_slice_eval,no_phase_signal;low_domain_signal,3,3,3
