document_id,subject,lane,umbrella_family,before_cross,after_cross,before_other,after_other,before_total,after_total
xml_kmvss-kmvss_art_2_002,정의,intentional_other_or_review,intentional_review_lane,1,0,62,83,83,83
xml_kmvss-kmvss_art_34_048,창유리 등,intentional_cross_phase,glazing_cross_phase,18,18,0,0,18,18
xml_kmvss-kmvss_art_114_189,기준적용의 특례,intentional_other_or_review,intentional_review_lane,0,0,13,13,13,13
xml_kmvss-kmvss_art_32_046,물품적재장치,intentional_other_or_review,intentional_review_lane,0,0,11,11,11,11
xml_kmvss-kmvss_art_105_158,창유리의 안전성 등,intentional_cross_phase,glazing_cross_phase,10,10,0,0,10,10
xml_kmvss-kmvss_art_113_188,승차정원 및 최대적재량,intentional_other_or_review,intentional_review_lane,5,5,5,5,5,5
xml_kmvss-kmvss_art_28_042,입석,intentional_other_or_review,intentional_review_lane,5,5,5,5,5,5
xml_kmvss-kmvss_art_18_028,사이버보안,mixed_or_ambiguous_keep_for_review,software_cyber,0,0,9,9,9,9
xml_kmvss-kmvss_art_88_129,계기판넬,umbrella_adjudication_candidate,umbrella_instrument_panel,6,0,3,0,6,6
xml_kmvss-kmvss_art_37_051,배기관,umbrella_adjudication_candidate,umbrella_exhaust,4,0,4,0,4,4
xml_kmvss-kmvss_art_4_007,길이ㆍ너비 및 높이,umbrella_adjudication_candidate,umbrella_titles_with_weak_unit_text,0,0,8,8,10,10
xml_kmvss-kmvss_art_6_009,차량총중량등,umbrella_adjudication_candidate,umbrella_titles_with_weak_unit_text,4,4,4,4,4,4
xml_kmvss-kmvss_art_18_029,소프트웨어,mixed_or_ambiguous_keep_for_review,software_cyber,0,0,7,9,9,9
xml_kmvss-kmvss_art_20_032,견인장치 및 연결장치,umbrella_adjudication_candidate,umbrella_towing_connection,4,0,3,1,7,7
xml_kmvss-kmvss_art_33_047,가스운송장치,umbrella_adjudication_candidate,umbrella_gas_transport,4,0,3,0,5,5
xml_kmvss-kmvss_art_38_055,주간주행등,umbrella_adjudication_candidate,umbrella_titles_with_weak_unit_text,3,3,4,3,4,4
xml_kmvss-kmvss_art_39_057,후퇴등,umbrella_adjudication_candidate,umbrella_titles_with_weak_unit_text,3,3,4,3,4,4
xml_kmvss-kmvss_art_40_059,차폭등,umbrella_adjudication_candidate,umbrella_titles_with_weak_unit_text,3,3,4,3,4,4
xml_kmvss-kmvss_art_108_162,에너지소비효율,umbrella_adjudication_candidate,umbrella_titles_with_weak_unit_text,3,3,3,3,3,3
xml_kmvss-kmvss_art_108_163,1회 충전 후 주행가능거리,umbrella_adjudication_candidate,umbrella_titles_with_weak_unit_text,3,3,3,3,3,3
